efficiency,start_time,time_offset,end_time
93.03483,2018-10-22 03:54:00.000,UTC-0300,2018-10-22 10:36:00.000
87.69231,2018-09-30 10:56:00.000,UTC-0300,2018-09-30 13:05:00.000
87.78802,2018-02-25 06:15:00.000,UTC-0400,2018-02-25 13:28:00.000
94.1691,2018-04-21 03:18:00.000,UTC-0300,2018-04-21 09:00:00.000
90.712746,2018-08-13 02:48:00.000,UTC-0300,2018-08-13 10:30:00.000
92.14438,2018-06-10 02:33:00.000,UTC-0300,2018-06-10 10:24:00.000
87.66234,2018-08-21 18:04:00.000,UTC+0300,2018-08-21 20:37:00.000
76.86568,2018-08-27 03:27:00.000,UTC+0300,2018-08-27 05:40:00.000
91.29464,2018-02-11 03:17:00.000,UTC-0400,2018-02-11 10:44:00.000
92.91338,2018-04-12 03:17:00.000,UTC-0300,2018-04-12 09:37:00.000
92.952385,2017-12-30 07:25:00.000,UTC-0700,2017-12-30 16:09:00.000
0.0,2018-01-03 05:22:00.000,UTC-0400,2018-01-03 05:38:00.000
90.38461,2018-07-18 03:08:00.000,UTC-0300,2018-07-18 10:03:00.000
92.07048,2018-04-17 02:52:00.000,UTC-0300,2018-04-17 10:25:00.000
94.34889,2018-03-30 03:19:00.000,UTC-0300,2018-03-30 10:06:00.000
72.72727,2018-01-03 02:56:00.000,UTC-0400,2018-01-03 04:01:00.000
89.6861,2018-06-28 03:36:00.000,UTC-0300,2018-06-28 11:02:00.000
96.01227,2018-05-22 05:00:00.000,UTC-0300,2018-05-22 10:25:00.000
0.0,2018-01-03 04:55:00.000,UTC-0400,2018-01-03 05:05:00.000
91.224495,2018-11-05 03:21:00.000,UTC-0400,2018-11-05 11:31:00.000
92.82297,2018-02-10 03:55:00.000,UTC-0400,2018-02-10 10:52:00.000
92.494484,2018-10-15 02:56:00.000,UTC-0300,2018-10-15 10:28:00.000
97.22992,2018-05-11 03:42:00.000,UTC-0300,2018-05-11 09:43:00.000
93.722946,2018-08-12 03:05:00.000,UTC-0300,2018-08-12 10:47:00.000
92.36641,2018-09-15 18:10:00.000,UTC-0300,2018-09-15 20:20:00.000
86.71497,2018-10-11 03:30:00.000,UTC-0300,2018-10-11 10:23:00.000
92.68293,2018-07-15 03:43:00.000,UTC-0300,2018-07-15 09:10:00.000
89.38053,2018-12-09 09:33:00.000,UTC-0400,2018-12-09 13:18:00.000
